,parcel,nbhd,abstrprd,livearea,finbsmnt,basement,yrbuilt,condition,quality,totunits,stories,gartype,nocars,xtraffic,floorlvl,numbdrm,numbaths,arcstyle,sprice,deduct,netprice,tasp,smonth,syear,qualified,status
8895,02323-14-013-000,247,1112,2226,0,386,1927,AVG,C,1,1,Det,2,,,5,4,ONE-STORY,95000,0,95000,95000,2,2012,U,I
8896,02323-14-038-000,247,1114,599,0,0,1957,AVG,C,1,1,None,0,,,2,1,END UNIT,41075,0,41075,41075,6,2011,U,I
8897,02323-15-026-000,247,1114,1268,0,0,2011,AVG,C,1,2,None,0,,,3,2,END UNIT,182000,0,182000,182000,12,2011,U,I
8898,02323-17-015-000,247,1112,1118,0,286,1951,Good,C,1,1,None,0,,,2,1,ONE-STORY,180000,0,180000,191237,7,2010,Q,I
8899,02323-17-016-000,247,1112,815,0,0,1952,AVG,C,1,1,Det,2,,,2,1,ONE-STORY,200000,0,200000,207057,5,2011,Q,I
8900,02323-17-016-000,247,1112,815,0,0,1952,AVG,C,1,1,Det,2,,,2,1,ONE-STORY,107000,0,107000,107000,1,2011,U,I
8901,02323-19-001-000,247,1112,1338,605,637,1939,Good,C,1,1,Det,2,,,2,2,ONE-STORY,137550,0,137550,137550,1,2012,U,I
8902,02323-19-004-000,247,1114,933,466,490,1940,AVG,C,1,1,Det,1,,,2,1,END UNIT,144555,3337,141218,147561,4,2011,U,I
8903,02323-20-022-000,247,1112,1173,0,0,1954,AVG,C,1,1,None,0,,,3,1,ONE-STORY,197500,5300,192200,195852,11,2011,Q,I
8904,02323-20-022-000,247,1112,1173,0,0,1954,AVG,C,1,1,None,0,,,3,1,ONE-STORY,104000,0,104000,104000,5,2011,U,I
8905,02323-21-010-000,247,1112,1000,675,750,1989,AVG,C,1,1,Det,2,,,2,2,ONE-STORY,207000,0,207000,214304,5,2011,Q,I
8906,02323-22-028-000,247,1114,1798,854,899,1999,AVG,C,1,2,Det,9,,,3,4,END UNIT,160000,0,160000,160000,3,2011,U,I
8907,02323-26-049-000,247,1114,804,155,310,1926,AVG,C,1,1,None,0,,,2,1,END UNIT,62000,1860,60140,62455,6,2011,U,I
8908,02323-26-056-000,247,1114,1021,0,190,1910,AVG,C,1,1,Det,2,,,1,1,END UNIT,163000,0,163000,171367,2,2011,Q,I
8909,02323-26-056-000,247,1114,1021,0,190,1910,AVG,C,1,1,Det,2,,,1,1,END UNIT,65000,0,65000,65000,8,2010,U,I
8910,02323-26-057-000,247,1114,1013,0,325,1910,AVG,C,1,1,Det,2,,,1,1,END UNIT,160000,4800,155200,162669,3,2011,Q,I
8911,02323-26-057-000,247,1114,1013,0,325,1910,AVG,C,1,1,Det,2,,,1,1,END UNIT,55000,0,55000,55000,8,2010,U,I
